peak_id,Chr,Start,End
Tb927.1.790,Tb927_01_v5.1,250981,253518
Tb927.1.800,Tb927_01_v5.1,253690,254102
Tb927.1.820,Tb927_01_v5.1,254294,256475
Tb927.1.830,Tb927_01_v5.1,256600,257708
Tb927.1.830,Tb927_01_v5.1,256600,259712
Tb927.1.840,Tb927_01_v5.1,259832,260630
Tb927.1.860,Tb927_01_v5.1,260761,262198
Tb927.1.870,Tb927_01_v5.1,262186,263802
Tb927.1.880,Tb927_01_v5.1,264383,278165
Tb927.1.890,Tb927_01_v5.1,278299,279226
Tb927.1.990,Tb927_01_v5.1,288567,289706
Tb927.1.1000,Tb927_01_v5.1,289877,291155
Tb927.1.1010,Tb927_01_v5.1,291564,293744
Tb927.1.1020,Tb927_01_v5.1,294103,296172
Tb927.1.1025,Tb927_01_v5.1,296301,296645
Tb927.1.1030,Tb927_01_v5.1,296917,298629
Tb927.1.1050,Tb927_01_v5.1,298768,303453
Tb927.1.1060,Tb927_01_v5.1,303866,305683
Tb927.1.1080,Tb927_01_v5.1,305833,307362
Tb927.1.1090,Tb927_01_v5.1,307530,308220
Tb927.1.1100,Tb927_01_v5.1,308514,311616
Tb927.1.1120,Tb927_01_v5.1,312382,313566
Tb927.1.1130,Tb927_01_v5.1,313927,315833
Tb927.1.1140,Tb927_01_v5.1,316135,317263
Tb927.1.1150,Tb927_01_v5.1,317685,319537
Tb927.1.1160,Tb927_01_v5.1,319644,321248
Tb927.1.1170,Tb927_01_v5.1,321590,321873
Tb927.1.1175,Tb927_01_v5.1,322203,322845
Tb927.1.1200,Tb927_01_v5.1,322958,324540
Tb927.1.1210,Tb927_01_v5.1,325359,326379
Tb927.1.1220,Tb927_01_v5.1,326505,327395
Tb927.1.1230,Tb927_01_v5.1,327625,329839
Tb927.1.1240,Tb927_01_v5.1,330230,332871
Tb927.1.1270,Tb927_01_v5.1,334681,335988
Tb927.1.1300,Tb927_01_v5.1,338010,339021
Tb927.1.1310,Tb927_01_v5.1,339513,341181
Tb927.1.1330,Tb927_01_v5.1,341279,342519
Tb927.1.1340,Tb927_01_v5.1,342869,345206
Tb927.1.1350,Tb927_01_v5.1,345439,349875
Tb927.1.1370,Tb927_01_v5.1,350007,353225
Tb927.1.1380,Tb927_01_v5.1,352621,355913
Tb927.1.1390,Tb927_01_v5.1,356850,358003
Tb927.1.1400,Tb927_01_v5.1,358330,358941
Tb1.NT.24,Tb927_01_v5.1,359492,360126
Tb927.1.1420,Tb927_01_v5.1,360215,362252
Tb927.1.1470,Tb927_01_v5.1,366499,371255
Tb927.1.1500,Tb927_01_v5.1,374288,380825
Tb1.NT.25,Tb927_01_v5.1,385001,385556
Tb927.1.1530,Tb927_01_v5.1,385686,394564
Tb927.1.1540,Tb927_01_v5.1,394769,397050
Tb927.1.1550,Tb927_01_v5.1,397181,399439
Tb927.1.1560,Tb927_01_v5.1,399581,403619
Tb927.1.1580,Tb927_01_v5.1,403753,405277
Tb927.1.1600,Tb927_01_v5.1,405432,410249
Tb927.1.1610,Tb927_01_v5.1,411182,412571
Tb927.1.1620,Tb927_01_v5.1,412694,415370
Tb927.1.1630,Tb927_01_v5.1,415583,416167
Tb927.1.1640,Tb927_01_v5.1,416748,417804
Tb927.1.1650,Tb927_01_v5.1,417998,418622
Tb927.1.1660,Tb927_01_v5.1,418783,419716
Tb927.1.1670,Tb927_01_v5.1,419907,424412
Tb927.1.1680,Tb927_01_v5.1,424537,425655
Tb927.1.1690,Tb927_01_v5.1,425773,428601
Tb927.1.1700,Tb927_01_v5.1,428803,430357
Tb927.1.1710,Tb927_01_v5.1,430809,436805
Tb927.1.1720,Tb927_01_v5.1,436930,438166
Tb927.1.1730,Tb927_01_v5.1,438558,440944
Tb927.1.1740,Tb927_01_v5.1,441100,462853
Tb927.1.1750,Tb927_01_v5.1,463429,464902
Tb927.1.1760,Tb927_01_v5.1,465360,465801
Tb927.1.1770,Tb927_01_v5.1,466900,467937
Tb927.1.1790,Tb927_01_v5.1,468056,469268
Tb927.1.1820,Tb927_01_v5.1,470119,471459
Tb927.1.1840,Tb927_01_v5.1,473179,477856
Tb927.1.1850,Tb927_01_v5.1,479529,482045
Tb927.1.1860,Tb927_01_v5.1,482048,482222
Tb927.1.1880,Tb927_01_v5.1,483816,488521
Tb927.1.1890,Tb927_01_v5.1,488948,493047
Tb927.1.1910,Tb927_01_v5.1,493469,497857
Tb927.1.1920,Tb927_01_v5.1,498097,500775
Tb927.1.1930,Tb927_01_v5.1,500879,513605
Tb927.1.1960,Tb927_01_v5.1,513877,516276
Tb927.1.1980,Tb927_01_v5.1,516409,517613
Tb927.1.1990,Tb927_01_v5.1,517766,518431
Tb927.1.2000,Tb927_01_v5.1,518620,519181
Tb927.1.2040,Tb927_01_v5.1,521079,522475
Tb927.1.2060,Tb927_01_v5.1,524735,524873
Tb927.1.2070,Tb927_01_v5.1,524997,525443
Tb927.1.2100,Tb927_01_v5.1,531514,535583
Tb927.1.2110,Tb927_01_v5.1,535993,538833
Tb927.1.2120,Tb927_01_v5.1,540416,545837
Tb927.1.2150,Tb927_01_v5.1,546121,548454
Tb927.1.2160,Tb927_01_v5.1,548659,550440
Tb927.1.2190,Tb927_01_v5.1,551781,559549
Tb927.1.2200,Tb927_01_v5.1,559476,560052
Tb927.1.2210,Tb927_01_v5.1,559983,562221
Tb927.1.2230,Tb927_01_v5.1,562110,564339
Tb927.1.2260,Tb927_01_v5.1,564600,567106
Tb927.1.2310,Tb927_01_v5.1,567370,568169
Tb927.1.2320,Tb927_01_v5.1,568525,569507
Tb1.NT.27,Tb927_01_v5.1,570069,570299
Tb927.1.2330,Tb927_01_v5.1,570422,572177
Tb927.1.2340,Tb927_01_v5.1,572335,573881
Tb927.1.2350,Tb927_01_v5.1,574064,575819
Tb927.1.2360,Tb927_01_v5.1,575977,577523
Tb927.1.2370,Tb927_01_v5.1,577706,579461
Tb927.1.2380,Tb927_01_v5.1,579619,581165
Tb927.1.2390,Tb927_01_v5.1,581348,583103
Tb927.1.2400,Tb927_01_v5.1,583261,584807
Tb927.1.2410,Tb927_01_v5.1,584990,585950
Tb927.1.2420,Tb927_01_v5.1,591040,592285
Tb927.1.2430,Tb927_01_v5.1,592440,593869
Tb927.1.2450,Tb927_01_v5.1,594023,595466
Tb927.1.2470,Tb927_01_v5.1,595607,597044
Tb927.1.2490,Tb927_01_v5.1,597199,598630
Tb927.1.2510,Tb927_01_v5.1,598785,600216
Tb927.1.2530,Tb927_01_v5.1,600371,601800
Tb927.1.2550,Tb927_01_v5.1,601955,603378
Tb927.1.2570,Tb927_01_v5.1,603458,606430
Tb927.1.2580,Tb927_01_v5.1,607395,608595
Tb927.1.2600,Tb927_01_v5.1,609478,614307
Tb927.1.2640,Tb927_01_v5.1,616212,617552
Tb927.1.2670,Tb927_01_v5.1,618376,621469
Tb927.1.2700,Tb927_01_v5.1,622174,623776
Tb927.1.2710,Tb927_01_v5.1,624160,628405
Tb927.1.2730,Tb927_01_v5.1,628531,629938
Tb927.1.2740,Tb927_01_v5.1,631054,633005
Tb927.1.2750,Tb927_01_v5.1,633193,633871
Tb927.1.2760,Tb927_01_v5.1,634071,634634
Tb927.1.2770,Tb927_01_v5.1,634793,636278
Tb927.1.2780,Tb927_01_v5.1,636256,640556
Tb927.1.2820,Tb927_01_v5.1,640696,643263
Tb927.1.2850,Tb927_01_v5.1,644705,647261
Tb927.1.2880,Tb927_01_v5.1,648703,651264
Tb927.1.2970,Tb927_01_v5.1,656564,657473
Tb927.1.2980,Tb927_01_v5.1,658927,662823
Tb927.1.2985,Tb927_01_v5.1,662951,663556
Tb927.1.2990,Tb927_01_v5.1,663651,666826
Tb927.1.3000,Tb927_01_v5.1,666977,668620
Tb927.1.3010,Tb927_01_v5.1,668728,670101
Tb927.1.3030,Tb927_01_v5.1,670233,671532
Tb927.1.3040,Tb927_01_v5.1,671776,672908
Tb927.1.3050,Tb927_01_v5.1,672922,674982
Tb927.1.3070,Tb927_01_v5.1,675109,676653
Tb927.1.3110,Tb927_01_v5.1,677615,679013
Tb927.1.3120,Tb927_01_v5.1,679143,682632
Tb927.1.3130,Tb927_01_v5.1,683007,684631
Tb927.1.3150,Tb927_01_v5.1,685425,686960
Tb927.1.3170,Tb927_01_v5.1,687207,688587
Tb927.1.3180,Tb927_01_v5.1,688933,689792
Tb927.1.3200,Tb927_01_v5.1,689980,691247
Tb927.1.3220,Tb927_01_v5.1,691636,693398
Tb927.1.3230,Tb927_01_v5.1,694139,696465
Tb927.1.3250,Tb927_01_v5.1,696805,702812
Tb927.1.3260,Tb927_01_v5.1,702965,708786
Tb927.1.3270,Tb927_01_v5.1,709470,712308
Tb927.1.3280,Tb927_01_v5.1,712889,713989
Tb927.1.3290,Tb927_01_v5.1,714093,717220
Tb927.1.3300,Tb927_01_v5.1,717850,722139
Tb927.1.3310,Tb927_01_v5.1,721776,723140
Tb927.1.3320,Tb927_01_v5.1,723732,725505
Tb927.1.3350,Tb927_01_v5.1,725820,728189
Tb927.1.3360,Tb927_01_v5.1,728537,731231
Tb927.1.3390,Tb927_01_v5.1,731488,732378
Tb927.1.3400,Tb927_01_v5.1,732214,733840
Tb927.1.3410,Tb927_01_v5.1,734212,735796
Tb927.1.3410,Tb927_01_v5.1,734212,736337
Tb927.1.3450,Tb927_01_v5.1,736445,740175
Tb927.1.3550,Tb927_01_v5.1,751139,757935
Tb927.1.3560,Tb927_01_v5.1,758162,762086
Tb927.1.3670,Tb927_01_v5.1,769750,779012
tmp.1.100,Tb927_01_v5.1,794147,802447
tmp.1.10,Tb927_01_v5.1,794166,796354
tmp.1.30,Tb927_01_v5.1,796727,796899
tmp.1.40,Tb927_01_v5.1,797481,799344
tmp.1.50,Tb927_01_v5.1,799501,799716
tmp.1.60,Tb927_01_v5.1,799791,801327
tmp.1.70,Tb927_01_v5.1,801413,801595
tmp.1.80,Tb927_01_v5.1,801914,801992
tmp.1.90,Tb927_01_v5.1,802311,802447
Tb927.1.3750,Tb927_01_v5.1,803647,805452
Tb927.1.3760,Tb927_01_v5.1,805537,811654
Tb927.1.3800,Tb927_01_v5.1,814231,814850
Tb927.1.3810,Tb927_01_v5.1,815096,815608
Tb927.1.3820,Tb927_01_v5.1,815717,816149
Tb927.1.3830,Tb927_01_v5.1,816303,818578
Tb927.1.3840,Tb927_01_v5.1,818725,820827
Tb927.1.3850,Tb927_01_v5.1,820967,822057
Tb927.1.3860,Tb927_01_v5.1,822193,826118
Tb927.1.3880,Tb927_01_v5.1,826496,832221
Tb927.1.3890,Tb927_01_v5.1,832455,833388
Tb927.1.3910,Tb927_01_v5.1,833571,836861
Tb927.1.3940,Tb927_01_v5.1,837317,840600
Tb927.1.3950,Tb927_01_v5.1,840717,844478
Tb927.1.4010,Tb927_01_v5.1,844374,848709
Tb927.1.4020,Tb927_01_v5.1,848809,852598
Tb927.1.4040,Tb927_01_v5.1,852634,854428
Tb927.1.4050,Tb927_01_v5.1,856391,861646
Tb927.1.4100,Tb927_01_v5.1,861573,864625
Tb927.1.4140,Tb927_01_v5.1,864787,866440
Tb927.1.4160,Tb927_01_v5.1,866633,867647
Tb927.1.4180,Tb927_01_v5.1,867782,870352
Tb927.1.4220,Tb927_01_v5.1,871670,873776
Tb927.1.4220,Tb927_01_v5.1,871860,873776
Tb927.1.4230,Tb927_01_v5.1,873921,876311
Tb927.1.4250,Tb927_01_v5.1,876431,879282
Tb927.1.4280,Tb927_01_v5.1,880175,883182
Tb927.1.4300,Tb927_01_v5.1,885964,890522
Tb927.1.4310,Tb927_01_v5.1,890090,897567
Tb927.1.4340,Tb927_01_v5.1,899107,903089
Tb927.1.4370,Tb927_01_v5.1,902819,905658
Tb927.1.4380,Tb927_01_v5.1,905831,907962
Tb927.1.4400,Tb927_01_v5.1,907879,908989
Tb927.1.4410,Tb927_01_v5.1,909408,911906
Tb927.1.4420,Tb927_01_v5.1,912166,916224
Tb927.1.4450,Tb927_01_v5.1,916394,920056
Tb927.1.4470,Tb927_01_v5.1,921238,923025
Tb927.1.4480,Tb927_01_v5.1,923247,927993
Tb927.1.4490,Tb927_01_v5.1,928832,931833
Tb927.1.4500,Tb927_01_v5.1,932223,934231
Tb927.1.4520,Tb927_01_v5.1,934407,939104
Tb927.1.4540,Tb927_01_v5.1,937983,942232
Tb927.1.4560,Tb927_01_v5.1,942389,944105
Tb927.1.4580,Tb927_01_v5.1,945452,947168
Tb927.1.4600,Tb927_01_v5.1,948579,950295
Tb927.1.4630,Tb927_01_v5.1,951708,953424
Tb927.1.4650,Tb927_01_v5.1,954771,959982
Tb927.1.4680,Tb927_01_v5.1,962454,963745
Tb927.1.4690,Tb927_01_v5.1,964014,965836
Tb927.1.4700,Tb927_01_v5.1,965980,967683
Tb927.1.4710,Tb927_01_v5.1,967637,968324
Tb927.1.4720,Tb927_01_v5.1,968712,970679
Tb927.1.4730,Tb927_01_v5.1,971006,971775
Tb927.1.4740,Tb927_01_v5.1,971897,975136
Tb927.1.4760,Tb927_01_v5.1,975776,979264
Tb927.1.4780,Tb927_01_v5.1,979504,981555
Tb927.1.4800,Tb927_01_v5.1,982325,983948
Tb927.1.4810,Tb927_01_v5.1,984348,985912
Tb927.1.4830,Tb927_01_v5.1,986556,988178
Tb927.1.4860,Tb927_01_v5.1,988440,989637
Tb927.1.4870,Tb927_01_v5.1,989767,990757
Tb927.1.4890,Tb927_01_v5.1,991992,993368
Tb927.1.4900,Tb927_01_v5.1,993536,994662
Tb927.1.4910,Tb927_01_v5.1,994789,996098
Tb927.1.4920,Tb927_01_v5.1,996103,997259
Tb927.1.4970,Tb927_01_v5.1,1001644,1004159
Tb927.1.5000,Tb927_01_v5.1,1004271,1005744
Tb927.1.5030,Tb927_01_v5.1,1007760,1010594
Tb927.1.5060,Tb927_01_v5.1,1013232,1014302
Tb927.1.5080,Tb927_01_v5.1,1015352,1016174
Tb927.1.5090,Tb927_01_v5.1,1016682,1016862
Tb927.1.5100,Tb927_01_v5.1,1018099,1019468
Tb927.1.5110,Tb927_01_v5.1,1019637,1020739
Tb927.1.5120,Tb927_01_v5.1,1020868,1021855
Tb927.1.5150,Tb927_01_v5.1,1021996,1025861
Tb927.1.5160,Tb927_01_v5.1,1026016,1026301
Tb927.1.5170,Tb927_01_v5.1,1027232,1028607
Tb927.1.5180,Tb927_01_v5.1,1028712,1028881
Tb927.1.5200,Tb927_01_v5.1,1032128,1033116
Tb927.1.5220,Tb927_01_v5.1,1035214,1036153
Tb927.1.5235,Tb927_01_v5.1,1038135,1038540
Tb927.1.5240,Tb927_01_v5.1,1039794,1040794
Tb927.1.5250,Tb927_01_v5.1,1041259,1041436
Tb927.1.5260,Tb927_01_v5.1,1041564,1042104
Tb927.1.5280,Tb927_01_v5.1,1047900,1049053
Tb927.1.5300,Tb927_01_v5.1,1050168,1051560
Tb927.1.5320,Tb927_01_v5.1,1053600,1055201
Tb927.1.5330,Tb927_01_v5.1,1056241,1057855
Tb927.1.5340,Tb927_01_v5.1,1058268,1059325
Tb2.NT.1,Tb927_02_v5.1,9,723
Tb927.2.100,Tb927_02_v5.1,1682,4236
Tb927.2.160,Tb927_02_v5.1,9689,11535
Tb927.2.170,Tb927_02_v5.1,11865,18011
Tb927.2.200,Tb927_02_v5.1,18120,21832
Tb927.2.220,Tb927_02_v5.1,23834,24984
Tb927.2.240,Tb927_02_v5.1,25547,27622
Tb927.2.270,Tb927_02_v5.1,31016,32823
Tb927.2.280,Tb927_02_v5.1,35292,38199
Tb927.2.300,Tb927_02_v5.1,43074,45675
Tb927.2.340,Tb927_02_v5.1,46127,48793
Tb927.2.370,Tb927_02_v5.1,55592,58404
Tb927.2.380,Tb927_02_v5.1,60893,63800
Tb927.2.400,Tb927_02_v5.1,66260,69167
Tb927.2.420,Tb927_02_v5.1,74058,76659
Tb927.2.450,Tb927_02_v5.1,77111,79774
Tb927.2.460,Tb927_02_v5.1,83797,86389
Tb927.2.470,Tb927_02_v5.1,86843,90931
Tb927.2.480,Tb927_02_v5.1,89758,94133
Tb927.2.490,Tb927_02_v5.1,95000,97492
Tb927.2.510,Tb927_02_v5.1,98072,100650
Tb927.2.540,Tb927_02_v5.1,105095,108123
Tb927.2.560,Tb927_02_v5.1,108731,111333
Tb927.2.650,Tb927_02_v5.1,118322,119201
Tb927.2.660,Tb927_02_v5.1,119464,123178
Tb927.2.680,Tb927_02_v5.1,124182,125050
Tb927.2.690,Tb927_02_v5.1,125306,133253
Tb927.2.720,Tb927_02_v5.1,132368,140458
Tb927.2.820,Tb927_02_v5.1,140724,142308
Tb927.2.830,Tb927_02_v5.1,143716,144837
Tb927.2.900,Tb927_02_v5.1,151836,153619
Tb927.2.910,Tb927_02_v5.1,153716,156642
Tb927.2.940,Tb927_02_v5.1,157653,158457
Tb927.2.950,Tb927_02_v5.1,158782,164921
Tb927.2.960,Tb927_02_v5.1,164259,167528
Tb927.2.980,Tb927_02_v5.1,166649,174630
Tb927.2.1050,Tb927_02_v5.1,174642,176720
Tb927.2.1060,Tb927_02_v5.1,177858,178692
Tb927.2.1080,Tb927_02_v5.1,178828,181713
Tb927.2.1100,Tb927_02_v5.1,184196,186894
Tb927.2.1110,Tb927_02_v5.1,187018,190235
Tb927.2.1120,Tb927_02_v5.1,190724,192910
Tb927.2.1130,Tb927_02_v5.1,193037,197338
Tb927.2.1140,Tb927_02_v5.1,197307,198680
Tb927.2.1150,Tb927_02_v5.1,201100,203037
Tb927.2.1160,Tb927_02_v5.1,203617,204976
Tb927.2.1170,Tb927_02_v5.1,205539,207617
Tb927.2.1180,Tb927_02_v5.1,210040,212736
Tb927.2.1200,Tb927_02_v5.1,212980,219351
Tb927.2.1210,Tb927_02_v5.1,219958,226625
Tb927.2.1250,Tb927_02_v5.1,229529,230553
Tb927.2.1260,Tb927_02_v5.1,230671,234354
Tb927.2.1290,Tb927_02_v5.1,234777,235442
Tb927.2.1310,Tb927_02_v5.1,236386,245245
Tb927.2.1330,Tb927_02_v5.1,244361,247458
Tb927.2.1344,Tb927_02_v5.1,248903,249150
Tb927.2.1350,Tb927_02_v5.1,249151,250379
Tb927.2.1380,Tb927_02_v5.1,250915,257272
Tb927.2.1389,Tb927_02_v5.1,260223,260359
Tb927.2.1398,Tb927_02_v5.1,260681,260759
Tb927.2.1407,Tb927_02_v5.1,261082,261265
Tb927.2.1416,Tb927_02_v5.1,261402,262886
Tb927.2.1425,Tb927_02_v5.1,262962,263177
Tb927.2.1434,Tb927_02_v5.1,263371,265201
Tb927.2.1443,Tb927_02_v5.1,265782,265954
Tb927.2.1452,Tb927_02_v5.1,266298,268549
Tb927.2.1460,Tb927_02_v5.1,270436,275473
Tb927.2.1470,Tb927_02_v5.1,276189,277487
Tb927.2.1480,Tb927_02_v5.1,278562,278698
Tb927.2.1490,Tb927_02_v5.1,279020,279098
Tb927.2.1500,Tb927_02_v5.1,279421,279604
Tb927.2.1510,Tb927_02_v5.1,279741,281225
Tb927.2.1520,Tb927_02_v5.1,281301,281516
Tb927.2.1530,Tb927_02_v5.1,281710,283540
Tb927.2.1540,Tb927_02_v5.1,284121,284293
Tb927.2.1550,Tb927_02_v5.1,284635,286886
Tb927.2.1560,Tb927_02_v5.1,304561,305320
Tb927.2.1600,Tb927_02_v5.1,305849,307642
Tb927.2.1680,Tb927_02_v5.1,315628,316387
Tb2.NT.3,Tb927_02_v5.1,316545,317056
Tb927.2.1700,Tb927_02_v5.1,317192,321148
Tb927.2.1720,Tb927_02_v5.1,321261,321705
Tb927.2.1730,Tb927_02_v5.1,321811,322641
Tb927.2.1740,Tb927_02_v5.1,322757,325262
Tb927.2.1760,Tb927_02_v5.1,325382,328298
Tb927.2.1770,Tb927_02_v5.1,328418,328699
Tb927.2.1780,Tb927_02_v5.1,328952,330346
Tb927.2.1790,Tb927_02_v5.1,330792,331314
Tb927.2.1800,Tb927_02_v5.1,331433,335342
Tb927.2.1810,Tb927_02_v5.1,335450,339172
Tb927.2.1820,Tb927_02_v5.1,339491,344261
Tb927.2.1850,Tb927_02_v5.1,344877,346852
Tb927.2.1860,Tb927_02_v5.1,347002,349648
Tb927.2.1890,Tb927_02_v5.1,350618,352677
Tb2.NT.8,Tb927_02_v5.1,353950,354510
Tb927.2.1920,Tb927_02_v5.1,354590,356826
Tb927.2.1931,Tb927_02_v5.1,369956,372207
Tb927.2.1942,Tb927_02_v5.1,372545,372717
Tb927.2.1953,Tb927_02_v5.1,373302,375132
Tb927.2.1964,Tb927_02_v5.1,375327,375542
Tb927.2.1975,Tb927_02_v5.1,375618,377103
Tb927.2.1986,Tb927_02_v5.1,377240,377423
Tb927.2.1997,Tb927_02_v5.1,377746,377824
Tb927.2.2008,Tb927_02_v5.1,378145,378281
Tb927.2.2015,Tb927_02_v5.1,386514,387059
Tb927.2.2020,Tb927_02_v5.1,387549,388705
Tb927.2.2029,Tb927_02_v5.1,389044,390795
Tb927.2.2060,Tb927_02_v5.1,393055,394399
Tb927.2.2070,Tb927_02_v5.1,397334,398424
Tb927.2.2090,Tb927_02_v5.1,398550,402324
Tb927.2.2120,Tb927_02_v5.1,403882,405837
Tb927.2.2130,Tb927_02_v5.1,406717,408492
Tb927.2.2140,Tb927_02_v5.1,408833,409571
Tb927.2.2160,Tb927_02_v5.1,410839,412901
Tb927.2.2180,Tb927_02_v5.1,413433,414656
Tb927.2.2190,Tb927_02_v5.1,414867,418898
Tb927.2.2200,Tb927_02_v5.1,419053,420295
Tb927.2.2210,Tb927_02_v5.1,420516,423689
Tb927.2.2220,Tb927_02_v5.1,424197,425229
Tb927.2.2230,Tb927_02_v5.1,425386,427131
Tb927.2.2240,Tb927_02_v5.1,427698,431815
Tb927.2.2260,Tb927_02_v5.1,433364,447032
Tb927.2.2270,Tb927_02_v5.1,447295,448246
Tb927.2.2320,Tb927_02_v5.1,451020,451856
Tb927.2.2340,Tb927_02_v5.1,452379,456652
Tb927.2.2360,Tb927_02_v5.1,457060,460283
Tb927.2.2370,Tb927_02_v5.1,460463,465255
Tb927.2.2380,Tb927_02_v5.1,465484,468565
Tb927.2.2390,Tb927_02_v5.1,468712,469912
Tb927.2.2400,Tb927_02_v5.1,471225,473541
Tb927.2.2410,Tb927_02_v5.1,473663,475973
Tb927.2.2430,Tb927_02_v5.1,476245,479747
Tb927.2.2440,Tb927_02_v5.1,480316,482378
Tb927.2.2450,Tb927_02_v5.1,482752,484353
Tb927.2.2460,Tb927_02_v5.1,484515,487095
Tb927.2.2470,Tb927_02_v5.1,487441,489761
Tb927.2.2490,Tb927_02_v5.1,490810,492015
Tb927.2.2500,Tb927_02_v5.1,492150,493687
Tb927.2.2510,Tb927_02_v5.1,494284,495137
Tb927.2.2520,Tb927_02_v5.1,495307,496453
Tb927.2.2530,Tb927_02_v5.1,497416,500286
Tb927.2.2540,Tb927_02_v5.1,500415,501338
Tb927.2.2550,Tb927_02_v5.1,501564,503608
Tb927.2.2570,Tb927_02_v5.1,504176,504900
Tb927.2.2580,Tb927_02_v5.1,506020,510672
Tb927.2.2590,Tb927_02_v5.1,510808,511483
Tb927.2.2650,Tb927_02_v5.1,519545,530766
Tb927.2.2670,Tb927_02_v5.1,530971,533083
Tb927.2.2720,Tb927_02_v5.1,533216,540087
Tb927.2.2770,Tb927_02_v5.1,541128,542691
Tb927.2.2830,Tb927_02_v5.1,546091,548126
Tb927.2.2860,Tb927_02_v5.1,548539,549931
Tb927.2.2880,Tb927_02_v5.1,550363,553711
Tb927.2.2900,Tb927_02_v5.1,554077,554648
Tb927.2.2910,Tb927_02_v5.1,554813,556637
Tb927.2.2920,Tb927_02_v5.1,556457,558328
Tb927.2.2940,Tb927_02_v5.1,559563,560692
Tb927.2.2950,Tb927_02_v5.1,560865,564116
Tb927.2.2970,Tb927_02_v5.1,564270,565248
Tb927.2.2990,Tb927_02_v5.1,567493,569217
Tb927.2.3000,Tb927_02_v5.1,569415,570967
Tb927.2.3020,Tb927_02_v5.1,571122,574339
Tb927.2.3030,Tb927_02_v5.1,574821,577457
Tb927.2.3055,Tb927_02_v5.1,578241,578650
Tb927.2.3080,Tb927_02_v5.1,579129,580593
Tb927.2.3090,Tb927_02_v5.1,580872,584142
Tb927_02_v4.snoRNA.0100,Tb927_02_v5.1,584826,584900
Tb927.2.3160,Tb927_02_v5.1,585536,587270
Tb927.2.3180,Tb927_02_v5.1,587668,590852
Tb927.2.3190,Tb927_02_v5.1,591002,592956
Tb927.2.3270,Tb927_02_v5.1,593119,600381
Tb927.2.3280,Tb927_02_v5.1,601554,602947
Tb927.2.3290,Tb927_02_v5.1,605100,607469
Tb927.2.3300,Tb927_02_v5.1,608641,609991
Tb927.2.3310,Tb927_02_v5.1,612184,614554
